代码,名称,买入日,买入价,卖出日,卖出价,股数,盈亏,净收益率,持有交易日,卖出原因
000908,石药景峰,2021-12-29,2.869,2022-01-10,2.887,174200,2481.31,0.4962%,7,信号
002109,ST兴化,2021-12-29,5.863,2022-01-06,5.547,85200,-27384.14,-5.4793%,5,信号
002786,银宝山新,2021-12-29,6.993,2021-12-31,6.857,71400,-10270.89,-2.0559%,2,信号
000766,通化金马,2021-12-30,4.712,2022-01-10,4.588,106100,-13718.73,-2.7425%,6,信号
002059,云南旅游,2021-12-30,5.513,2022-01-19,6.707,90600,107612.9,21.5353%,13,信号
601236,红塔证券,2021-12-31,11.356,2022-01-11,11.004,44000,-15943.84,-3.1894%,6,信号
603368,柳药集团,2021-12-31,14.435,2022-01-19,17.289,34600,98204.31,19.6523%,12,信号
002641,公元股份,2022-01-04,5.231,2022-01-17,5.645,95500,39071.35,7.8178%,9,信号
300254,仟源医药,2022-01-04,8.784,2022-01-06,8.006,56900,-44768.36,-8.9522%,2,信号
600206,有研新材,2022-01-04,15.864,2022-01-06,14.619,31500,-39705.19,-7.9416%,2,信号
600592,龙溪股份,2022-01-04,9.886,2022-01-10,9.586,50500,-15628.34,-3.1289%,4,信号
605108,同庆楼,2022-01-04,17.326,2022-01-19,20.667,28800,95673.8,19.1643%,11,信号
000058,深赛格,2022-01-06,6.607,2022-01-10,6.231,75600,-28942.56,-5.7913%,2,信号
000705,浙江震元,2022-01-06,8.364,2022-01-14,8.376,59700,194.62,0.0390%,6,信号
002746,仙坛股份,2022-01-06,8.364,2022-01-17,8.846,59700,28225.57,5.6497%,7,信号
002777,久远银海,2022-01-06,19.202,2022-01-10,18.013,26000,-31387.57,-6.2839%,2,信号
002883,ST中设,2022-01-06,10.078,2022-01-10,9.368,49600,-35684.53,-7.1352%,2,信号
002950,奥美医疗,2022-01-07,15.401,2022-01-21,15.495,32400,2562.97,0.5134%,10,信号
300075,数字政通,2022-01-07,14.703,2022-01-12,14.531,34000,-6365.96,-1.2728%,3,信号
000004,国华退,2022-01-10,21.111,2022-01-21,21.189,23600,1361.72,0.2732%,9,信号
000731,四川美丰,2022-01-10,9.325,2022-01-14,8.716,53600,-33126.95,-6.6247%,4,信号
002556,辉隆股份,2022-01-10,11.598,2022-01-13,11.426,43100,-7888.34,-1.5773%,3,信号
300026,红日药业,2022-01-10,7.844,2022-01-19,7.236,63700,-39180.61,-7.8376%,7,信号
600255,鑫科材料,2022-01-10,3.062,2022-01-12,2.799,163300,-43414.95,-8.6796%,2,信号
603200,上海洗霸,2022-01-10,16.693,2022-01-14,16.271,24500,-10754.62,-2.6283%,4,信号
002481,双塔食品,2022-01-11,9.525,2022-01-19,9.525,52400,-474.22,-0.0950%,6,信号
300534,陇神戎发,2022-01-11,13.277,2022-01-18,12.694,37600,-22408.48,-4.4866%,5,信号
605388,均瑶健康,2022-01-11,13.95,2022-01-19,14.058,35800,3364.91,0.6734%,6,信号
002349,精华制药,2022-01-12,11.366,2022-01-26,15.592,43900,184952.5,37.0496%,10,信号
603718,ST海利,2022-01-12,15.574,2022-01-14,15.028,32100,-17995.33,-3.5979%,2,信号
600168,武汉控股,2022-01-13,4.853,2022-01-17,4.835,103000,-2439.86,-0.4878%,2,信号
600823,ST世茂,2022-01-13,3.512,2022-01-17,3.428,142300,-12371.56,-2.4744%,2,信号
000619,海螺新材,2022-01-14,6.043,2022-01-21,5.527,82700,-43133.85,-8.6266%,5,信号
002735,王子新材,2022-01-14,15.897,2022-01-24,15.952,31400,1229.34,0.2462%,6,信号
600337,ST美克,2022-01-14,3.91,2022-01-19,3.736,127800,-22703.16,-4.5412%,3,信号
603615,茶花股份,2022-01-14,9.255,2022-01-19,8.716,54000,-29590.39,-5.9181%,3,信号
603856,东宏股份,2022-01-14,14.063,2022-01-26,13.889,35500,-6672.3,-1.3358%,8,信号
600818,ST中路,2022-01-17,10.089,2022-01-25,10.199,49500,4935.75,0.9878%,6,信号
603357,设计总院,2022-01-17,7.141,2022-01-24,7.349,70000,14105.7,2.8206%,5,信号
605338,巴比食品,2022-01-17,33.977,2022-01-24,31.984,14700,-29781.62,-5.9598%,5,信号
002224,三力士,2022-01-18,5.47,2022-01-21,5.234,91400,-22000.35,-4.3985%,3,信号
002589,瑞康医药,2022-01-18,4.507,2022-01-20,4.273,110900,-26480.71,-5.2950%,2,信号
002217,ST合力泰,2022-01-19,3.942,2022-01-21,3.748,126800,-25067.1,-5.0125%,2,信号
002400,省广集团,2022-01-19,5.226,2022-01-21,5.1,95600,-12459.17,-2.4927%,2,信号
603602,纵横通信,2022-01-19,11.766,2022-01-26,11.404,42400,-15822.41,-3.1700%,5,信号
