日期,权益
2024-05-17,8247041.75
2024-05-20,8253350.62
2024-05-21,8321809.09
2024-05-22,8322748.05
2024-05-23,8309157.05
2024-05-24,8269601.05
2024-05-27,8266724.25
2024-05-28,8238188.86
2024-05-29,8244060.25
2024-05-30,8221858.41
2024-05-31,8320736.80
2024-06-03,8070239.26
2024-06-04,7973118.75
2024-06-05,7864676.58
2024-06-06,7722201.46
2024-06-07,7698284.14
2024-06-11,7746125.85
2024-06-12,7796850.39
2024-06-13,7754536.76
2024-06-14,7752983.77
2024-06-17,7667902.79
2024-06-18,7719761.51
2024-06-19,7641925.51
2024-06-20,7551426.18
2024-06-21,7545722.87
2024-06-24,7506892.00
2024-06-25,7509372.79
2024-06-26,7538964.69
2024-06-27,7415195.18
2024-06-28,7328898.18
2024-07-01,7404415.78
2024-07-02,7316286.38
2024-07-03,7302202.70
2024-07-04,7182969.14
2024-07-05,7294188.34
2024-07-08,7114267.73
2024-07-09,7118348.98
2024-07-10,7134653.05
2024-07-11,7171750.41
2024-07-12,7184538.34
2024-07-15,7125023.55
2024-07-16,7149862.02
2024-07-17,7097307.35
2024-07-18,7093905.75
2024-07-19,7159677.35
2024-07-22,7196463.72
2024-07-23,7052540.43
2024-07-24,6980077.53
2024-07-25,7051810.62
2024-07-26,7079386.25
2024-07-29,6991866.68
2024-07-30,6999874.68
2024-07-31,7244854.46
2024-08-01,7169431.65
2024-08-02,7095383.24
2024-08-05,7014842.64
2024-08-06,7100367.74
2024-08-07,7039223.34
2024-08-08,7087037.30
2024-08-09,7068663.65
2024-08-12,7091727.91
2024-08-13,7106993.24
2024-08-14,7085843.24
2024-08-15,7080449.91
2024-08-16,7053883.14
2024-08-19,6972222.78
2024-08-20,6901070.99
2024-08-21,6875179.16
2024-08-22,6802534.88
2024-08-23,6781165.69
2024-08-26,6793507.06
2024-08-27,6661874.22
2024-08-28,6700946.60
2024-08-29,6836785.86
2024-08-30,6981073.79
2024-09-02,6840500.46
2024-09-03,6862205.74
2024-09-04,6846345.21
2024-09-05,6900351.21
2024-09-06,6814085.78
2024-09-09,6782940.54
2024-09-10,6794645.53
2024-09-11,6818289.52
2024-09-12,6804624.66
2024-09-13,6808893.03
2024-09-18,6819874.76
2024-09-19,6830778.79
2024-09-20,6766524.98
2024-09-23,6845156.76
2024-09-24,7131731.16
2024-09-25,7182384.16
2024-09-26,7417978.74
2024-09-27,7633657.04
2024-09-30,7890152.15
2024-10-08,8007310.23
2024-10-09,8007310.23
2024-10-10,8007310.23
2024-10-11,8007310.23
2024-10-14,8007310.23
2024-10-15,8007310.23
2024-10-16,8007310.23
2024-10-17,8007310.23
2024-10-18,8007310.23
2024-10-21,7996580.73
2024-10-22,8000898.23
2024-10-23,8017590.73
2024-10-24,8012695.73
2024-10-25,8027820.73
2024-10-28,8016628.23
2024-10-29,8000719.44
2024-10-30,7995934.94
2024-10-31,7996022.94
2024-11-01,8002389.94
2024-11-04,8010970.44
2024-11-05,8043984.57
2024-11-06,8051796.77
2024-11-07,8109276.57
2024-11-08,8105683.79
2024-11-11,8091739.79
2024-11-12,8085431.79
2024-11-13,8082638.46
