序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
12043,688613,奥精医疗,2026-02-11,25.083,2026-02-25,23.268,-7.3256%,-7.2328%,4,信号
12044,688616,西力科技,2025-06-25,12.416,2025-07-15,12.489,0.4837%,0.5843%,14,信号
12045,688617,惠泰医疗,2023-01-30,169.916,2023-02-14,168.322,-1.0372%,-0.9382%,11,信号
12046,688617,惠泰医疗,2024-10-08,329.005,2024-10-10,269.913,-18.0430%,-17.9609%,2,止损
12047,688618,三旺通信,2022-07-20,20.163,2022-08-25,23.864,18.2369%,18.3553%,26,信号
12048,688618,三旺通信,2024-04-01,32.827,2024-04-16,28.026,-14.7116%,-14.6263%,9,止损
12049,688618,三旺通信,2025-11-19,28.856,2025-11-24,26.329,-8.8504%,-8.7592%,3,止损
12050,688618,三旺通信,2026-05-12,47.366,2026-05-15,42.771,-9.7915%,-9.7013%,3,止损
12051,688619,罗普特,2025-06-13,12.886,2025-07-03,12.974,0.5750%,0.6757%,14,信号
12052,688620,安凯微,2024-06-14,8.604,2024-06-26,7.796,-9.4836%,-9.3930%,8,止损
