序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1968,603018,华设集团,2025-09-05,6.294,2025-09-22,6.363,0.9900%,1.0910%,11,到期
1969,603020,爱普股份,2025-11-25,10.035,2025-12-10,9.855,-1.8914%,-1.7932%,11,到期
1970,603022,新通联,2026-06-23,8.834,2026-06-26,8.326,-5.8510%,-5.7568%,3,止损
1971,603025,大豪科技,2026-03-30,13.477,2026-04-15,14.203,5.2829%,5.3882%,11,到期
1972,603026,石大胜华,2023-12-22,42.111,2024-01-02,45.737,8.5022%,8.6107%,6,止盈
1973,603027,千禾味业,2023-05-22,16.214,2023-05-30,15.083,-7.0662%,-6.9732%,6,止损
1974,603028,赛福天,2024-01-26,9.191,2024-01-31,8.632,-6.1752%,-6.0813%,3,止损
1975,603029,天鹅股份,2021-08-24,10.228,2021-09-08,10.249,0.1028%,0.2030%,11,到期
1976,603029,天鹅股份,2024-04-18,15.091,2024-05-08,15.945,5.5567%,5.6624%,11,到期
1977,603031,安孚科技,2024-08-26,14.552,2024-09-10,15.095,3.6289%,3.7326%,11,到期
1978,603032,德新科技,2023-08-30,24.793,2023-09-14,23.739,-4.3479%,-4.2522%,11,到期
1979,603032,德新科技,2024-06-11,12.707,2024-06-21,11.445,-10.0219%,-9.9319%,8,止损
1980,603033,三维股份,2022-01-13,14.91,2022-01-20,13.949,-6.5416%,-6.4480%,5,止损
1981,603033,三维股份,2023-12-04,16.058,2023-12-06,17.761,10.4953%,10.6058%,2,止盈
1982,603037,凯众股份,2025-11-21,13.287,2025-12-15,13.473,1.3032%,1.4046%,11,到期
1983,603038,华立股份,2025-11-25,17.559,2025-12-10,17.141,-2.4745%,-2.3769%,11,到期
1984,603039,泛微网络,2023-09-25,44.15,2023-10-18,43.606,-1.3306%,-1.2319%,11,到期
1985,603040,新坐标,2024-01-26,12.647,2024-01-30,11.808,-6.7290%,-6.6356%,2,止损
1986,603043,广州酒家,2024-11-26,14.717,2024-12-03,15.942,8.2130%,8.3213%,5,止盈
1987,603043,广州酒家,2026-05-20,14.057,2026-06-04,14.113,0.2974%,0.3978%,11,到期
1988,603045,福达合金,2023-07-28,16.508,2023-08-14,15.452,-6.4903%,-6.3967%,11,止损
1989,603050,科林电气,2023-03-21,6.889,2023-04-06,7.031,1.9597%,2.0617%,11,到期
1990,603050,科林电气,2025-11-25,16.77,2025-12-10,17.793,5.9923%,6.0984%,11,到期
1991,603051,鹿山新材,2023-08-18,24.726,2023-08-24,23.231,-6.1400%,-6.0461%,4,止损
1992,603052,可川科技,2024-08-22,18.585,2024-09-02,20.009,7.5527%,7.6604%,7,止盈
1993,603052,可川科技,2025-03-26,26.469,2025-04-08,21.852,-17.5260%,-17.4435%,8,止损
1994,603055,台华新材,2022-03-17,10.496,2022-04-01,10.726,2.0833%,2.1854%,11,到期
1995,603056,德邦股份,2023-12-12,14.135,2023-12-27,13.491,-4.6501%,-4.5547%,11,到期
1996,603056,德邦股份,2024-09-20,12.462,2024-09-27,13.929,11.6583%,11.7700%,5,止盈
1997,603059,倍加洁,2026-03-05,33.088,2026-03-20,32.774,-1.0478%,-0.9488%,11,到期
1998,603059,倍加洁,2026-05-25,29.436,2026-05-28,27.866,-5.4271%,-5.3325%,3,止损
1999,603060,国检集团,2023-06-02,10.51,2023-06-13,9.946,-5.4630%,-5.3684%,7,止损
2000,603060,国检集团,2023-12-13,8.371,2023-12-28,8.023,-4.2553%,-4.1595%,11,到期
2001,603063,禾望电气,2022-04-19,28.194,2022-04-22,26.407,-6.4329%,-6.3393%,3,止损
