序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
1757,300399,天利科技,2023-03-14,13.787,2023-03-21,13.043,-5.4868%,-5.3922%,5,信号
1758,300402,宝色股份,2025-11-05,26.013,2025-11-17,24.138,-7.3010%,-7.2082%,8,信号
1759,300406,九强生物,2021-12-06,15.619,2021-12-10,14.404,-7.8714%,-7.7792%,4,信号
1760,300409,道氏技术,2026-01-07,32.67,2026-01-20,30.869,-5.6095%,-5.5150%,9,信号
1761,300410,正业科技,2023-07-24,10.005,2023-07-28,9.195,-8.1838%,-8.0920%,4,信号
1762,300410,正业科技,2025-06-24,7.134,2025-07-03,7.286,2.0397%,2.1418%,7,信号
1763,300414,中光防雷,2025-06-30,13.141,2025-07-11,12.278,-6.6586%,-6.5652%,9,信号
1764,300414,中光防雷,2025-12-25,15.942,2026-01-16,16.326,2.3055%,2.4079%,14,信号
1765,300417,南华仪器,2023-08-04,11.856,2023-08-14,10.845,-8.6218%,-8.5303%,6,信号
1766,300418,昆仑万维,2025-05-26,37.899,2025-06-03,32.954,-13.1359%,-13.0490%,5,信号
1767,300418,昆仑万维,2025-08-26,43.011,2025-09-08,40.77,-5.3071%,-5.2123%,9,信号
1768,300426,华智数媒,2025-08-20,11.206,2025-08-28,10.425,-7.0611%,-6.9681%,6,信号
1769,300430,ST益通,2026-01-07,27.024,2026-01-19,23.708,-12.3562%,-12.2684%,8,信号
1770,300446,航天智造,2023-05-25,13.777,2023-05-31,12.684,-8.0273%,-7.9352%,4,信号
1771,300452,山河药辅,2026-01-19,15.06,2026-01-28,15.084,0.0654%,0.1655%,7,信号
1772,300454,深信服,2024-10-08,83.701,2024-10-17,66.596,-20.5156%,-20.4361%,7,信号
1773,300455,航天智装,2023-05-22,11.431,2023-05-30,11.089,-3.0825%,-2.9855%,6,信号
1774,300457,赢合科技,2025-06-19,20.715,2025-07-02,21.194,2.2102%,2.3125%,9,信号
1775,300460,ST惠伦,2022-12-19,12.036,2022-12-26,10.985,-8.8276%,-8.7364%,5,信号
1776,300460,ST惠伦,2023-06-27,11.626,2023-07-13,11.874,2.0332%,2.1353%,12,信号
1777,300460,ST惠伦,2025-06-16,9.975,2025-06-27,10.955,9.7101%,9.8199%,9,信号
1778,300461,田中精机,2022-01-11,21.521,2022-01-20,21.969,1.9808%,2.0829%,7,信号
1779,300462,ST华铭,2023-11-27,13.006,2023-12-01,12.524,-3.8080%,-3.7117%,4,信号
1780,300463,迈克生物,2022-10-18,20.076,2022-10-26,18.937,-5.7703%,-5.6760%,6,信号
1781,300463,迈克生物,2026-01-28,12.946,2026-02-02,11.954,-7.7581%,-7.6658%,3,信号
1782,300465,高伟达,2024-08-21,7.714,2024-08-30,7.396,-4.2125%,-4.1167%,7,信号
1783,300478,杭州高新,2021-11-02,9.865,2021-11-10,9.235,-6.4753%,-6.3817%,6,信号
1784,300478,杭州高新,2024-01-04,14.007,2024-01-09,12.594,-10.1798%,-10.0900%,3,信号
1785,300480,光力科技,2025-06-24,15.388,2025-07-04,15.592,1.2277%,1.3290%,8,信号
1786,300483,首华燃气,2023-08-14,14.207,2023-08-18,13.153,-7.5091%,-7.4166%,4,信号
1787,300489,光智科技,2025-05-21,55.568,2025-05-28,49.415,-11.1610%,-11.0720%,5,信号
1788,300492,华图山鼎,2023-01-17,27.226,2023-02-06,25.387,-6.8453%,-6.7521%,9,信号
1789,300494,盛天网络,2021-09-10,8.361,2021-09-22,7.709,-7.8905%,-7.7984%,6,信号
1790,300504,天邑股份,2026-03-13,18.309,2026-03-18,16.672,-9.0346%,-8.9436%,3,信号
1791,300509,新美星,2025-12-01,13.407,2025-12-12,12.684,-5.4877%,-5.3932%,9,信号
1792,300510,金冠股份,2025-03-20,4.882,2025-03-25,4.428,-9.4027%,-9.3120%,3,信号
1793,300510,金冠股份,2026-07-27,3.352,2026-07-31,3.348,-0.1998%,-0.1000%,4,信号
1794,300513,恒实科技,2025-06-09,9.335,2025-06-16,8.806,-5.7621%,-5.6678%,5,信号
1795,300514,友讯达,2023-09-01,13.777,2023-09-13,13.693,-0.7072%,-0.6078%,8,信号
1796,300519,新光药业,2024-08-05,11.556,2024-08-15,11.874,2.6516%,2.7543%,8,信号
1797,300521,爱司凯,2023-07-19,14.777,2023-07-24,13.483,-8.8487%,-8.7575%,3,信号
1798,300530,领湃科技,2022-08-30,35.518,2022-09-13,34.103,-4.0794%,-3.9834%,9,信号
1799,300534,陇神戎发,2021-12-22,9.445,2022-01-18,12.694,34.2651%,34.3994%,13,信号
1800,300535,达威股份,2022-12-13,15.213,2022-12-19,14.488,-4.8600%,-4.7648%,4,信号
