序号,代码,名称,买入日,买入价,卖出日,卖出价,净收益率,毛收益率,持有交易日,卖出原因
2081,600557,康缘药业,2023-10-16,19.569,2023-10-18,18.42,-5.9657%,-5.8716%,2,信号
2082,600559,老白干酒,2023-01-19,28.824,2023-01-31,28.066,-2.7286%,-2.6313%,3,信号
2083,600559,老白干酒,2024-11-12,22.311,2024-11-15,21.539,-3.5563%,-3.4598%,3,信号
2084,600560,金自天正,2021-12-23,9.789,2021-12-27,9.319,-4.8920%,-4.7968%,2,信号
2085,600561,江西长运,2022-07-15,5.603,2022-07-25,5.657,0.8695%,0.9704%,6,信号
2086,600561,江西长运,2023-10-13,6.013,2023-10-18,6.007,-0.1998%,-0.1000%,3,信号
2087,600565,ST迪马,2023-11-13,1.681,2023-11-17,1.639,-2.5760%,-2.4785%,4,信号
2088,600570,恒生电子,2025-08-01,35.818,2025-08-05,34.633,-3.4057%,-3.3090%,2,信号
2089,600571,信雅达,2023-12-15,17.669,2023-12-19,16.912,-4.3817%,-4.2860%,2,信号
2090,600572,康恩贝,2026-04-20,4.492,2026-04-24,4.348,-3.3116%,-3.2149%,4,信号
2091,600575,淮河能源,2023-06-02,2.481,2023-06-06,2.309,-7.0410%,-6.9479%,2,信号
2092,600576,祥源文旅,2022-07-04,5.533,2022-07-07,5.377,-2.9069%,-2.8097%,3,信号
2093,600576,祥源文旅,2023-01-05,7.594,2023-01-11,7.246,-4.6705%,-4.5751%,4,信号
2094,600579,中化装备,2026-01-14,8.944,2026-01-22,8.696,-2.8790%,-2.7818%,6,信号
2095,600581,ST八钢,2024-10-11,3.262,2024-10-16,3.138,-3.8735%,-3.7773%,3,信号
2096,600581,ST八钢,2025-03-06,3.512,2025-03-11,3.338,-5.0335%,-4.9384%,3,信号
2097,600585,海螺水泥,2025-07-25,24.412,2025-07-30,23.188,-5.1080%,-5.0131%,3,信号
2098,600586,金晶科技,2023-07-06,7.76,2023-07-12,7.722,-0.5858%,-0.4864%,4,信号
2099,600586,金晶科技,2025-07-08,5.123,2025-07-16,5.007,-2.3440%,-2.2462%,6,信号
2100,600588,用友网络,2021-12-15,36.308,2021-12-21,34.533,-4.9850%,-4.8899%,4,信号
2101,600588,用友网络,2022-07-05,21.491,2022-07-07,20.76,-3.4986%,-3.4020%,2,信号
2102,600588,用友网络,2025-07-21,14.287,2025-08-11,15.062,5.3213%,5.4267%,15,信号
2103,600590,泰豪科技,2024-09-23,3.779,2024-11-04,5.164,36.5283%,36.6650%,25,信号
2104,600592,龙溪股份,2022-01-04,9.886,2022-01-10,9.586,-3.1289%,-3.0319%,4,信号
2105,600592,龙溪股份,2023-06-29,9.638,2023-07-07,9.918,2.8046%,2.9075%,6,信号
2106,600592,龙溪股份,2025-08-26,24.882,2025-08-28,23.938,-3.8917%,-3.7955%,2,信号
2107,600592,龙溪股份,2026-05-29,20.965,2026-06-02,19.765,-5.8197%,-5.7254%,2,信号
2108,600593,大连圣亚,2023-12-07,20.88,2023-12-13,19.86,-4.9818%,-4.8867%,4,信号
2109,600593,大连圣亚,2026-01-19,43.532,2026-01-28,45.657,4.7776%,4.8824%,7,信号
2110,600595,中孚实业,2024-04-11,3.607,2024-04-17,3.593,-0.4767%,-0.3771%,4,信号
2111,600597,光明乳业,2025-03-19,8.604,2025-03-24,8.386,-2.6368%,-2.5394%,3,信号
2112,600601,方正科技,2023-06-19,3.112,2023-06-26,2.899,-6.9387%,-6.8456%,3,信号
2113,600602,云赛智联,2021-09-06,6.315,2021-09-13,6.079,-3.8364%,-3.7402%,5,信号
2114,600609,金杯汽车,2023-05-17,4.819,2023-05-22,4.625,-4.1363%,-4.0404%,3,信号
2115,600609,金杯汽车,2023-06-26,5.09,2023-07-10,5.214,2.3506%,2.4530%,10,信号
2116,600610,中毅达,2026-01-27,11.696,2026-02-03,11.404,-2.5902%,-2.4928%,5,信号
2117,600610,中毅达,2026-05-13,10.255,2026-05-15,9.855,-3.9971%,-3.9010%,2,信号
2118,600611,大众交通,2023-01-31,3.002,2023-02-08,3.018,0.4655%,0.5661%,6,信号
2119,600611,大众交通,2024-04-11,2.791,2024-04-16,2.729,-2.3461%,-2.2483%,3,信号
2120,600611,大众交通,2026-01-12,5.923,2026-01-19,5.877,-0.8742%,-0.7750%,5,信号
2121,600612,老凤祥,2023-04-13,53.647,2023-04-24,52.974,-1.3538%,-1.2551%,7,信号
2122,600612,老凤祥,2025-06-03,48.654,2025-06-09,47.166,-3.1550%,-3.0581%,4,信号
2123,600613,神奇制药,2023-02-23,8.794,2023-02-27,8.476,-3.7195%,-3.6232%,2,信号
2124,600613,神奇制药,2023-08-14,7.864,2023-08-17,7.646,-2.8662%,-2.7690%,3,信号
2125,600615,鑫源智造,2023-09-21,7.662,2023-09-28,7.988,4.1529%,4.2571%,5,信号
2126,600616,金枫酒业,2023-06-19,7.484,2023-06-21,6.927,-7.5381%,-7.4455%,2,信号
2127,600617,国新能源,2025-06-23,3.012,2025-06-25,2.749,-8.8204%,-8.7292%,2,信号
2128,600617,国新能源,2025-10-23,4.002,2025-10-27,3.668,-8.4333%,-8.3417%,2,信号
2129,600621,华鑫股份,2024-08-06,13.19,2024-08-12,12.7,-3.8109%,-3.7146%,4,信号
2130,600622,光大嘉宝,2021-12-24,2.947,2021-12-29,2.825,-4.2650%,-4.1692%,3,信号
2131,600624,ST复华,2022-12-05,6.763,2022-12-15,6.527,-3.5954%,-3.4989%,8,信号
2132,600624,ST复华,2023-02-24,6.433,2023-02-28,6.227,-3.3040%,-3.2073%,2,信号
2133,600624,ST复华,2024-09-12,3.362,2024-09-19,3.138,-6.7344%,-6.6410%,3,信号
2134,600626,申达股份,2023-12-21,4.042,2023-12-28,4.148,2.5175%,2.6201%,5,信号
2135,600629,华建集团,2025-07-31,9.628,2025-08-15,10.826,12.3283%,12.4408%,11,信号
2136,600630,龙头股份,2023-09-26,6.694,2023-09-28,6.408,-4.3762%,-4.2805%,2,信号
2137,600637,东方明珠,2025-10-10,9.965,2025-10-14,9.445,-5.3101%,-5.2153%,2,信号
