买入日,代码,名称,开盘净收益,开盘毛收益,收盘净收益,最高毛收益,信号日成交额
2022-10-27,603396,金辰股份,-3.9144%,-3.7181%,-7.0696%,-0.2199%,1084559490
2022-10-28,603931,格林达,1.0788%,1.2801%,3.9464%,10.1629%,495745953
2022-10-31,002212,天融信,-0.2000%,0.0000%,-1.1800%,0.0892%,711730707
2022-11-01,002368,太极股份,-1.8862%,-1.6880%,-1.2763%,-0.1796%,1193804750
2022-11-02,300482,万孚生物,-2.7852%,-2.5878%,-4.3300%,-2.3669%,1010944948
2022-11-03,300094,国联水产,-1.4926%,-1.2939%,-0.2000%,1.4787%,490346640
2022-11-04,300393,中来股份,0.0997%,0.2999%,1.1782%,3.0590%,1003698607
2022-11-07,000049,德赛电池,-0.0539%,0.1462%,-4.9581%,0.1462%,945205103
2022-11-08,001203,大中矿业,-1.5109%,-1.3122%,6.7480%,10.1699%,1719370321
2022-11-09,300261,雅本化学,-0.5112%,-0.3115%,-2.3785%,4.6729%,868137972
